YEAR: 1975 | DATE: 12.05 | TYPE: GLOBAL | CAT: conflict | TEXT: End of the Vietnam War
YEAR: 1994 | DATE: 25.06 | TYPE: LOCAL | CAT: education | TEXT: Graduated high school (Maturità) with top grades
YEAR: 1994 | DATE: 10.08 | TYPE: LOCAL | CAT: travel | TEXT: Backpacking trip through Germany and Austria
YEAR: 1994 | DATE: 27.04 | TYPE: GLOBAL | CAT: politics | TEXT: First democratic elections in South Africa
YEAR: 1995 | DATE: 05.09 | TYPE: LOCAL | CAT: residence | TEXT: Moved to London for university
YEAR: 1995 | DATE: 10.09 | TYPE: LOCAL | CAT: education | TEXT: Enrolled in Computer Science at a London university
YEAR: 1995 | DATE: 20.10 | TYPE: LOCAL | CAT: social | TEXT: Bought first electric guitar for the uni band
YEAR: 1996 | DATE: 05.07 | TYPE: GLOBAL | CAT: science | TEXT: Dolly the sheep becomes the first cloned mammal
YEAR: 1997 | DATE: 01.05 | TYPE: LOCAL | CAT: travel | TEXT: Weekend getaway to Brussels and Amsterdam
YEAR: 1997 | DATE: 26.06 | TYPE: GLOBAL | CAT: culture | TEXT: J.K. Rowling publishes Harry Potter
YEAR: 1998 | DATE: 15.06 | TYPE: LOCAL | CAT: education | TEXT: Graduated with Bachelor's degree in London
YEAR: 1998 | DATE: 01.08 | TYPE: LOCAL | CAT: residence | TEXT: Moved to Berlin, Germany
YEAR: 1998 | DATE: 10.08 | TYPE: LOCAL | CAT: career | TEXT: Job 1: Junior Developer at a Berlin startup
YEAR: 1999 | DATE: 01.01 | TYPE: GLOBAL | CAT: politics | TEXT: Euro currency officially established
YEAR: 2000 | DATE: 01.01 | TYPE: GLOBAL | CAT: crisis | TEXT: The Y2K bug scare and global Millennial celebrations
YEAR: 2001 | DATE: 11.09 | TYPE: GLOBAL | CAT: crisis | TEXT: September 11 attacks in the USA
YEAR: 2002 | DATE: 01.03 | TYPE: LOCAL | CAT: career | TEXT: Promoted to Lead Developer at the startup
YEAR: 2003 | DATE: 12.08 | TYPE: LOCAL | CAT: travel | TEXT: Road trip through Switzerland and Liechtenstein
YEAR: 2004 | DATE: 01.05 | TYPE: GLOBAL | CAT: politics | TEXT: EU Enlargement: 10 new countries join
YEAR: 2005 | DATE: 01.10 | TYPE: LOCAL | CAT: career | TEXT: Job 2: Hired as IT Architect at a major Berlin corp
YEAR: 2006 | DATE: 18.09 | TYPE: LOCAL | CAT: relationship | TEXT: Met long-term partner at a tech conference
YEAR: 2007 | DATE: 01.02 | TYPE: LOCAL | CAT: residence | TEXT: Moved into a rented apartment in Kreuzberg, Berlin
YEAR: 2008 | DATE: 15.09 | TYPE: GLOBAL | CAT: crisis | TEXT: Global Financial Crisis (Great Recession) begins
YEAR: 2008 | DATE: 20.07 | TYPE: LOCAL | CAT: milestone | TEXT: Brother graduates uni in Rome; flew back for party
YEAR: 2009 | DATE: 05.08 | TYPE: LOCAL | CAT: travel | TEXT: Summer vacation in Copenhagen, Denmark
YEAR: 2010 | DATE: 26.09 | TYPE: LOCAL | CAT: social | TEXT: Ran the Berlin Marathon (sports milestone)
YEAR: 2011 | DATE: 05.10 | TYPE: GLOBAL | CAT: culture | TEXT: Death of Steve Jobs; shift in the tech world
YEAR: 2012 | DATE: 15.01 | TYPE: LOCAL | CAT: career | TEXT: Job 3: Co-founded a tech consultancy in Berlin
YEAR: 2013 | DATE: 23.12 | TYPE: LOCAL | CAT: travel | TEXT: Visited brother and parents in Rome for Christmas
YEAR: 2015 | DATE: 11.02 | TYPE: GLOBAL | CAT: science | TEXT: Detection of gravitational waves by LIGO
YEAR: 2016 | DATE: 10.06 | TYPE: LOCAL | CAT: relationship | TEXT: Married partner in a civil ceremony in Berlin
YEAR: 2016 | DATE: 23.06 | TYPE: GLOBAL | CAT: politics | TEXT: UK votes for Brexit
YEAR: 2017 | DATE: 20.05 | TYPE: LOCAL | CAT: social | TEXT: Uni band reunites for a one-off gig in London
YEAR: 2019 | DATE: 01.11 | TYPE: LOCAL | CAT: residence | TEXT: Bought a house in the suburbs of Berlin
YEAR: 2020 | DATE: 15.03 | TYPE: GLOBAL | CAT: crisis | TEXT: COVID-19 Pandemic locks down Europe
YEAR: 2020 | DATE: 01.04 | TYPE: LOCAL | CAT: career | TEXT: Pivoted consultancy business to fully remote work
YEAR: 2022 | DATE: 24.02 | TYPE: GLOBAL | CAT: conflict | TEXT: Russia invades Ukraine
YEAR: 2022 | DATE: 15.06 | TYPE: LOCAL | CAT: social | TEXT: Organized a local charity concert in Berlin for Ukraine refugees
YEAR: 2023 | DATE: 15.06 | TYPE: LOCAL | CAT: travel | TEXT: Post-pandemic trip to Sweden and Norway
YEAR: 2023 | DATE: 15.06 | TYPE: GLOBAL | CAT: science | TEXT: Public release of GPT-4 and the global AI boom
YEAR: 2024 | DATE: 15.06 | TYPE: LOCAL | CAT: career | TEXT: Expanded tech consultancy to open a new branch in Rome
YEAR: 2024 | DATE: 15.06 | TYPE: GLOBAL | CAT: politics | TEXT: Historic European Parliament elections
YEAR: 2024 | DATE: 15.06 | TYPE: LOCAL | CAT: relationship | TEXT: First child born in Berlin (becoming an uncle figure contextually for his brother's kids if he had any, but here he becomes a father)
YEAR: 2024 | DATE: 15.06 | TYPE: LOCAL | CAT: education | TEXT: Enrolled in an online Executive MBA program
YEAR: 2024 | DATE: 15.06 | TYPE: LOCAL | CAT: milestone | TEXT: Turned 49, reflecting on a life split between Italy, UK, and Germany
YEAR: 2025 | DATE: 15.06 | TYPE: LOCAL | CAT: social | TEXT: Took a sabbatical to write a book about European tech history
